Symbol,Company,Market
MEGAP.E,MEGA POLIETILEN,N
MEPET.E,METRO PETROL VE TESISLERI,N
MERCN.E,MERCAN KIMYA,N
MERIT.E,MERIT TURIZM,N
MERKO.E,MERKO GIDA,N
METRO.E,METRO HOLDING,N
METUR.E,METEMTUR YATIRIM,N
MIPAZ.E,MILPA,N
MNDRS.E,MENDERES TEKSTIL,N
MRGYO.E,MARTI GMYO,N
MRSHL.E,MARSHALL,N
MSGYO.E,MISTRAL GMYO,N
MTRKS.E,MATRIKS BILGI DAGITIM,N
MZHLD.E,MAZHAR ZORLU HOLDING,N
NIBAS.E,NIGBAS NIGDE BETON,N
NTGAZ.E,NATURELGAZ,N
OBASE.E,OBASE BILGISAYAR,N
OLMK.E,MONDI OLMUKSAN KAGIT VE AMBALAJ,N
ORCAY.E,ORCAY ORTAKOY CAY SANAYI,N
ORGE.E,ORGE ENERJI ELEKTRIK,N
OSMEN.E,OSMANLI MENKUL,N
OSTIM.E,OSTIM ENDUSTRIYEL YAT,N
OYLUM.E,OYLUM SINAI YATIRIMLAR,N
OZGYO.E,OZDERICI GMYO,N
OZRDN.E,OZERDEN PLASTIK,N
PAGYO.E,PANORA GMYO,N
PAMEL.E,PAMEL ELEKTRIK,N
PAPIL.E,PAPILON SAVUNMA,N
PCILT.E,PC ILETISIM MEDYA,N
PEGYO.E,PERA GMYO,N
PEKGY.E,PEKER GMYO,N
PENGD.E,PENGUEN GIDA,N
PETUN.E,PINAR ET VE UN,N
PINSU.E,PINAR SU,N
PKART.E,PLASTIKKART,N
PNLSN.E,PANELSAN CATI CEPHE,N
PNSUT.E,PINAR SUT,N
POLTK.E,POLITEKNIK METAL,N
PRDGS.E,PARDUS GIRISIM,N
PRKME.E,PARK ELEK.MADENCILIK,N
PSDTC.E,PERGAMON DIS TICARET,N
RALYH.E,RAL YATIRIM HOLDING,N
RNPOL.E,RAINBOW POLIKARBONAT,N
RTALB.E,RTA LABORATUVARLARI,N
RYSAS.E,REYSAS LOJISTIK,N
SAFKR.E,SAFKAR EGE SOGUTMACILIK,N
SAMAT.E,SARAY MATBAACILIK,N
SANFM.E,SANIFOAM ENDUSTRI,N
SANKO.E,SANKO PAZARLAMA,N
SAYAS.E,SAY YENILENEBILIR ENERJI,N
SEGYO.E,SEKER GMYO,N
SEKFK.E,SEKER FIN. KIR.,N
SEKUR.E,SEKURO PLASTIK,N
SELVA.E,SELVA GIDA,N
SEYKM.E,SEYITLER KIMYA,N
SILVR.E,SILVERLINE ENDUSTRI,N
SKTAS.E,SOKTAS,N
SMART.E,SMARTIKS YAZILIM,N
SONME.E,SONMEZ FILAMENT,N
SRVGY.E,SERVET GMYO,N
TDGYO.E,TREND GMYO,N
TEKTU.E,TEK-ART TURIZM,N
TETMT.E,TETAMAT GIDA,N
TGSAS.E,TGS DIS TICARET,N
TLMAN.E,TRABZON LIMAN,N
TMPOL.E,TEMAPOL POLIMER PLASTIK,N
TUCLK.E,TUGCELIK,N
TURGG.E,TURKER PROJE GAYRIMENKUL,N
ULUFA.E,ULUSAL FAKTORING,N
ULUSE.E,ULUSOY ELEKTRIK,N
ULUUN.E,ULUSOY UN SANAYI,N
UNLU.E,UNLU YATIRIM HOLDING,N
USAK.E,USAK SERAMIK,N
VAKFN.E,VAKIF FIN. KIR.,N
VBTYZ.E,VBT YAZILIM,N
VERTU.E,VERUSATURK GIRISIM,N
VKFYO.E,VAKIF YAT. ORT.,N
VKGYO.E,VAKIF GMYO,N
YAPRK.E,YAPRAK SUT VE BESI CIFT.,N
YAYLA.E,YAYLA EN. UR. TUR. VE INS,N
YEOTK.E,YEO TEKNOLOJI ENERJI,N
YESIL.E,YESIL YATIRIM HOLDING,N
YGYO.E,YESIL GMYO,N
YKSLN.E,YUKSELEN CELIK,N
YUNSA.E,YUNSA,N
YYAPI.E,YESIL YAPI,N
ZOREN.E,ZORLU ENERJI,N
AYES.E,AYES CELIK HASIR VE CIT,S
BALAT.E,BALATACILAR BALATACILIK,S
BASCM.E,BASTAS BASKENT CIMENTO,S
CMENT.E,CIMENTAS,S
ISBIR.E,ISBIR HOLDING,S
KENT.E,KENT GIDA,S
KLNMA.E,T. KALKINMA BANK.,S
KSTUR.E,KUSTUR KUSADASI TURIZM,S
ORMA.E,ORMA ORMAN MAHSULLERI,S
QNBFB.E,QNB FINANSBANK,S
QNBFL.E,QNB FINANS FINANSAL KIRALAMA,S
SNPAM.E,SONMEZ PAMUKLU,S
SODSN.E,SODAS SODYUM SANAYII,S
SUMAS.E,SUMAS SUNI TAHTA,S
TBORG.E,T.TUBORG,S
UMPAS.E,UMPAS HOLDING,S
UZERB.E,UZERTAS BOYA,S
YBTAS.E,YIBITAS INSAAT MALZEME,S
YONGA.E,YONGA MOBILYA,S
ATAGY.E,ATA GMYO,T
ATLAS.E,ATLAS YAT. ORT.,T
AVTUR.E,AVRASYA PETROL VE TUR.,T
AYCES.E,ALTINYUNUS CESME,T
BRKSN.E,BERKOSAN YALITIM,T
DOBUR.E,DOGAN BURDA,T
ETYAT.E,EURO TREND YAT. ORT.,T
EUKYO.E,EURO KAPITAL YAT. ORT.,T
EUYO.E,EURO YAT. ORT.,T
GARFA.E,GARANTI FAKTORING,T
GRNYO.E,GARANTI YAT. ORT.,T
IDGYO.E,IDEALIST GMYO,T
ISATR.E,IS BANKASI (A),T
ISBTR.E,IS BANKASI (B),T
ISKUR.E,IS BANKASI (KUR.),T
MARKA.E,MARKA YATIRIM HOLDING,T
MTRYO.E,METRO YAT. ORT.,T
OYAYO.E,OYAK YAT. ORT.,T
PRZMA.E,PRIZMA PRESS MATBAACILIK,T
RAYSG.E,RAY SIGORTA,T
RHEAG.E,RHEA GIRISIM,T
RODRG.E,RODRIGO TEKSTIL,T
SANEL.E,SANEL MUHENDISLIK,T
SELGD.E,SELCUK GIDA,T
UFUK.E,UFUK YATIRIM,T
ULAS.E,ULASLAR TURIZM YAT.,T
VANGD.E,VANET GIDA,T
VKING.E,VIKING KAGIT,T
ATSYH.E,ATLANTIS YATIRIM HOLDING,W
BRKO.E,BIRKO MENSUCAT,W
BRMEN.E,BIRLIK MENSUCAT,W
CASA.E,CASA EMTIA PETROL,W
COSMO.E,COSMOS YAT. HOLDING,W
DIRIT.E,DIRITEKS DIRILIS TEKSTIL,W
EKIZ.E,EKIZ KIMYA,W
EMNIS.E,EMINIS AMBALAJ,W
KERVN.E,KERVANSARAY YAT. HOLDING,W
KUVVA.E,KUVVA GIDA,W
MMCAS.E,MMC SAN. VE TIC. YAT.,W
OTTO.E,OTTO HOLDING,W
ROYAL.E,ROYAL HALI,W
SNKRN.E,SENKRON SIBER GUVENLIK YAZILIM,W
ZEDUR.E,ZEDUR ENERJI,W
AEFES.E,ANADOLU EFES,Z
AGESA.E,AGESA HAYAT EMEKLILIK,Z
AGHOL.E,ANADOLU GRUBU HOLDING,Z
AKBNK.E,AKBANK,Z
AKCNS.E,AKCANSA,Z
AKENR.E,AK ENERJI,Z
AKFGY.E,AKFEN GMYO,Z
AKGRT.E,AKSIGORTA,Z
AKSA.E,AKSA,Z
AKSEN.E,AKSA ENERJI,Z
AKSGY.E,AKIS GMYO,Z
ALARK.E,ALARKO HOLDING,Z
ALBRK.E,ALBARAKA TURK,Z
ALCTL.E,ALCATEL LUCENT TELETAS,Z
ALGYO.E,ALARKO GMYO,Z
ALKIM.E,ALKIM KIMYA,Z
ANGEN.E,ANATOLIA TANI VE BIYOTEKNOLOJI,Z
ANHYT.E,ANADOLU HAYAT EMEK.,Z
ANSGR.E,ANADOLU SIGORTA,Z
ARASE.E,DOGU ARAS ENERJI,Z
ARCLK.E,ARCELIK,Z
ARDYZ.E,ARD BILISIM TEKNOLOJILERI,Z
ARENA.E,ARENA BILGISAYAR,Z
ASELS.E,ASELSAN,Z
ATATP.E,ATP BILGISAYAR,Z
AYDEM.E,AYDEM ENERJI,Z
