"Symbol","Name","Market",
"AEFES","ANADOLU EFES","Z",
"AGESA","AGESA HAYAT EMEKLILIK","Z",
"AGHOL","ANADOLU GRUBU HOLDING","Z",
"AKBNK","AKBANK","Z",
"AKCNS","AKCANSA","Z",
